a,b,c,d,,,,,,P11881
4n9a,2013,O43924,DNA POLYMERASE III SUBUNIT BETA,,,,,,P56109
4ovh,2014,O35820,DNA POLYMERASE III SUBUNIT BETA,,,,,,307
4pnu,2014,P15090,DNA POLYMERASE III SUBUNIT BETA,,,,,,P09955
3vhk,2012,P22392,VASCULAR ENDOTHELIAL GROWTH FACTOR RECEPTOR 2,,,,,,416
2ydt,2011,A5J299,"EXO-1,5-ALPHA-L-ARABINOFURANOBIOSIDASE",,,,,,P42527
4r3w,2014,P15379,ASPARTATE-SEMIALDEHYDE DEHYDROGENASE,,,,,,1146
3pwk,2012,Q09JX9,ASPARTATE-SEMIALDEHYDE DEHYDROGENASE,,,,,,A0ZNP3
2gz2,2006,O04379,ASPARTATE-SEMIALDEHYDE DEHYDROGENASE,,,,,,541
2hzl,2007,A0QYW6,TRAP-T FAMILY SORBITOL/MANNITOL TRANSPORTER,,,,,,O14965
3ebl,2008,G8UY02,GIBBERELLIN RECEPTOR GID1,,,,,,403
3npc,2010,Q9BIH3,MITOGEN-ACTIVATED PROTEIN KINASE 9,,,,,,P39325
5efh,2016,Q9IQV5,HDAC6 PROTEIN,,,,,,318
6csq,2018,O32080,HDAC6 PROTEIN,,,,,,P29317
5efj,2016,A3DK57,HDAC6 PROTEIN,,,,,,976
6csr,2018,P0AE78,HDAC6 PROTEIN,,,,,,O85465
6css,2018,Q15080,HDAC6 PROTEIN,,,,,,400
6csp,2018,B8ZYW1,HDAC6 PROTEIN,,,,,,P06565
5een,2016,Q98GN8,HDAC6 PROTEIN,,,,,,409
5ef7,2016,P26885,HDAC6 PROTEIN,,,,,,P00734
5eek,2016,Q9BX68,HDAC6 PROTEIN,,,,,,622
5eei,2016,P42568,HDAC6 PROTEIN,,,,,,P15273
2ot1,2007,Q58597,FRUCTOSE-BISPHOSPHATE ALDOLASE A,,,,,,468
1ado,1997,P41182,ALDOLASE,,,,,,Q9RCF6
1dgm,2000,Q96CA5,ADENOSINE KINASE,,,,,,325
1ndw,2003,P09455,ADENOSINE DEAMINASE,,,,,,P41784
1ndv,2003,Q9RS96,ADENOSINE DEAMINASE,,,,,,80
1ndy,2003,Q973T5,ADENOSINE DEAMINASE,,,,,,D5CV28
1uml,2004,Q9JLU4,ADENOSINE DEAMINASE,,,,,,0
1qxl,2004,Q9UKV8,ADENOSINE DEAMINASE,,,,,,P08235
2e1w,2006,Q01469,ADENOSINE DEAMINASE,,,,,,984
1v7a,2004,Q5A4W8,ADENOSINE DEAMINASE,,,,,,P54829
1ndz,2003,Q9YFY3,ADENOSINE DEAMINASE,,,,,,565
1o5r,2004,Q9I4K6,ADENOSINE DEAMINASE,,,,,,J9XXB7
4d4d,2015,P29498,"ALPHA-1,6-MANNANASE",,,,,,535
5n0f,2017,P05413,"ALPHA-1,6-MANNANASE",,,,,,Q05397
4llx,2014,Q9PTT3,"CGMP 3',5'-CYCLIC PHOSPHODIESTERASE",,,,,,1052
4lm3,2014,P60568,"CGMP 3',5'-CYCLIC PHOSPHODIESTERASE",,,,,,P01901
4llk,2014,P18670,"CGMP 3',5'-CYCLIC PHOSPHODIESTERASE",,,,,,369
4lm2,2014,Q6R308,"CGMP 3',5'-CYCLIC PHOSPHODIESTERASE",,,,,,P53355
4lm4,2014,P47709,"CGMP 3',5'-CYCLIC PHOSPHODIESTERASE",,,,,,1430
4lm1,2014,Q12118,"CGMP 3',5'-CYCLIC PHOSPHODIESTERASE",,,,,,P37231
4lm0,2014,Q8GPH6,"CGMP 3',5'-CYCLIC PHOSPHODIESTERASE",,,,,,505
4mrw,2014,Q9E7M1,"CGMP 3',5'-CYCLIC PHOSPHODIESTERASE",,,,,,P19793
4msa,2014,P07445,"CGMP 3',5'-CYCLIC PHOSPHODIESTERASE",,,,,,462
4lkq,2014,P31948,"CGMP 3',5'-CYCLIC PHOSPHODIESTERASE",,,,,,P18153
4llj,2014,P00592,"CGMP 3',5'-CYCLIC PHOSPHODIESTERASE",,,,,,321
4mrz,2014,P10688,"CGMP 3',5'-CYCLIC PHOSPHODIESTERASE",,,,,,G3XCK4
4msn,2014,P36946,"CGMP 3',5'-CYCLIC PHOSPHODIESTERASE",,,,,,293
4llp,2014,P78986,"CGMP 3',5'-CYCLIC PHOSPHODIESTERASE",,,,,,Q41931
5c1w,2015,P02701,"CGMP 3',5'-CYCLIC PHOSPHODIESTERASE",,,,,,320
5c28,2015,P98170,"CGMP 3',5'-CYCLIC PHOSPHODIESTERASE",,,,,,P20581
4msc,2014,Q6PL18,"CGMP 3',5'-CYCLIC PHOSPHODIESTERASE",,,,,,301
5dh4,2016,A5W4E3,"CGMP 3',5'-CYCLIC PHOSPHODIESTERASE",,,,,,P54760
4dff,2012,P61626,"CGMP 3',5'-CYCLIC PHOSPHODIESTERASE",,,,,,987
3uuo,2012,P00698,"CGMP 3',5'-CYCLIC PHOSPHODIESTERASE",,,,,,P30967
5c2a,2015,P08337,"CGMP 3',5'-CYCLIC PHOSPHODIESTERASE",,,,,,297
3ui7,2011,P0AGL2,"CGMP 3',5'-CYCLIC PHOSPHODIESTERASE",,,,,,Q7W019
5dh5,2016,Q05127,"CGMP 3',5'-CYCLIC PHOSPHODIESTERASE",,,,,,330
5c2h,2015,Q5HIJ4,"CGMP 3',5'-CYCLIC PHOSPHODIESTERASE",,,,,,Q13153
2hjb,2007,Q99WC0,AROMATIC AMINE DEHYDROGENASE,,,,,,545
2q7q,2007,P49773,ARALKYLAMINE DEHYDROGENASE LIGHT CHAIN,,,,,,P02879
1efy,2001,P19080,POLY (ADP-RIBOSE) POLYMERASE,,,,,,576
4p5z,2014,Q8F3Q1,EPH RECEPTOR A3,,,,,,Q7KQK0
2i80,2006,Q7PXT9,D-ALANINE-D-ALANINE LIGASE,,,,,,441
3vjc,2012,Q9UN19,SQUALENE SYNTHASE,,,,,,P54830
5l8y,2018,A2RI36,PHOSPHODIESTERASE,,,,,,541
5g5v,2018,P15705,PHOSPHODIESTERASE B1,,,,,,Q5HSJ4
5g2b,2017,E7F650,CLASS 1 PHOSPHODIESTERASE PDEB1,,,,,,299
5l8c,2018,P00947,PHOSPHODIESTERASE,,,,,,Q0T8Y8
5g57,2017,Q00987,PHOSPHODIESTERASE B1,,,,,,0
5m04,2017,P56734,GTPASE OBGE/CGTA,,,,,,A2IC68
3h78,2009,P61823,PQS BIOSYNTHETIC ENZYME,,,,,,227
4yrd,2015,A4TVL0,CAPSULAR POLYSACCHARIDE SYNTHESIS ENZYME CAP5F,,,,,,P08191
1b57,2000,O92805,PROTEIN (FRUCTOSE-BISPHOSPHATE ALDOLASE II),,,,,,300
3gv9,2009,P00669,BETA-LACTAMASE,,,,,,Q12852
3gqz,2009,Q86U86,BETA-LACTAMASE,,,,,,859
3gtc,2009,P29354,BETA-LACTAMASE,,,,,,Q01693
4kz7,2014,Q6RYW5,BETA-LACTAMASE,,,,,,504
3gr2,2009,P27694,BETA-LACTAMASE,,,,,,Q96Y14
3gvb,2009,Q9H8M2,BETA-LACTAMASE,,,,,,299
4kz3,2014,Q8K1Q4,BETA-LACTAMASE,,,,,,P0ABZ6
4kz6,2014,Q8IB67,BETA-LACTAMASE,,,,,,428
4kz4,2014,P14174,BETA-LACTAMASE,,,,,,P47205
2pu2,2008,Q12QS6,BETA-LACTAMASE,,,,,,303
4jxs,2014,Q05097,BETA-LACTAMASE,,,,,,Q51792
1xgi,2005,A0A073,BETA-LACTAMASE,,,,,,278
2r9x,2008,P59071,BETA-LACTAMASE,,,,,,Q92N37
2r9w,2008,D0VX11,BETA-LACTAMASE,,,,,,318
2rcn,2008,Q99814,GTPASE ENGC,,,,,,P00520
3c4h,2008,P27540,POLY [ADP-RIBOSE] POLYMERASE 3,,,,,,1123
3fhb,2009,O75164,POLY [ADP-RIBOSE] POLYMERASE 3,,,,,,Q59FK4
4kif,2014,F4KCL7,METHYLTRANSFERASE MPPJ,,,,,,1167
6g38,2018,P51659,SERINE/THREONINE-PROTEIN KINASE HASPIN,,,,,,P00519
6g37,2018,P60045,SERINE/THREONINE-PROTEIN KINASE HASPIN,,,,,,1130
6g35,2018,P15445,SERINE/THREONINE-PROTEIN KINASE HASPIN,,,,,,P96711
6g36,2018,Q9U9J6,SERINE/THREONINE-PROTEIN KINASE HASPIN,,,,,,362
6g34,2018,Q1W640,SERINE/THREONINE-PROTEIN KINASE HASPIN,,,,,,P47228
6g39,2018,Q58F21,SERINE/THREONINE-PROTEIN KINASE HASPIN,,,,,,298
6g3a,2018,Q09490,SERINE/THREONINE-PROTEIN KINASE HASPIN,,,,,,P53686
3ip9,2010,Q92831,"ABC TRANSPORTER, SUBSTRATE BINDING PROTEIN",,,,,,357
3ip5,2010,O85638,"ABC TRANSPORTER, SUBSTRATE BINDING PROTEIN",,,,,,P40233
3ip6,2010,O28524,"ABC TRANSPORTER, SUBSTRATE BINDING PROTEIN",,,,,,446
5ih9,2016,P55201,MATERNAL EMBRYONIC LEUCINE ZIPPER KINASE,,,,,,Q81VW8
1nwl,2003,Q23536,PROTEIN-TYROSINE PHOSPHATASE 1B,,,,,,280
2azr,2005,P62993,PROTEIN-TYROSINE PHOSPHATASE 1B,,,,,,C3P9L8
2hb1,2006,Q9UIF8,PROTEIN-TYROSINE PHOSPHATASE 1B,,,,,,0
1c87,2000,P16088,PROTEIN-TYROSINE PHOSPHATASE 1B,,,,,,Q9PPB4
5ka7,2017,A4GRE3,"TYROSINE-PROTEIN PHOSPHATASE, NON-RECEPTOR TYPE 1",,,,,,298
1no6,2003,Q9HYN5,"PROTEIN-TYROSINE PHOSPHATASE, NON-RECEPTOR TYPE 1",,,,,,O00625
5ka9,2017,P0A3F4,"TYROSINE-PROTEIN PHOSPHATASE, NON-RECEPTOR TYPE 1",,,,,,290
5kad,2017,Q89U61,"TYROSINE-PROTEIN PHOSPHATASE, NON-RECEPTOR TYPE 1",,,,,,Q95NY5
4i8n,2012,Q9Y2N7,"PROTEIN-TYROSINE PHOSPHATASE, NON-RECEPTOR TYPE 1",,,,,,315
5ka1,2017,P34884,"TYROSINE-PROTEIN PHOSPHATASE, NON-RECEPTOR TYPE 1",,,,,,P42866
5t19,2017,U8MRX2,"TYROSINE-PROTEIN PHOSPHATASE, NON-RECEPTOR TYPE 1",,,,,,398
5k9w,2017,Q8Y3Y7,"TYROSINE-PROTEIN PHOSPHATASE, NON-RECEPTOR TYPE 1",,,,,,P56839
2f6t,2005,Q4ACU6,"PROTEIN-TYROSINE PHOSPHATASE, NON-RECEPTOR TYPE 1",,,,,,295
1bzj,1999,Q92830,PROTEIN-TYROSINE PHOSPHATASE,,,,,,P43619
5kab,2017,P03367,"TYROSINE-PROTEIN PHOSPHATASE, NON-RECEPTOR TYPE 1",,,,,,295
1c86,2000,P03368,PROTEIN-TYROSINE PHOSPHATASE 1B,,,,,,P47075
3eb1,2009,Q5RZ08,"PROTEIN-TYROSINE PHOSPHATASE, NON-RECEPTOR TYPE 1",,,,,,721
2nta,2007,P03366,"PROTEIN-TYROSINE PHOSPHATASE, NON-RECEPTOR TYPE 1",,,,,,P0ABF6
1c83,2000,Q90EB9,PROTEIN-TYROSINE PHOSPHATASE 1B,,,,,,294
1ecv,2000,P04587,PROTEIN-TYROSINE PHOSPHATASE 1B,,,,,,P29029
1bzc,1999,Q9J2R0,PROTEIN-TYROSINE PHOSPHATASE 1B,,,,,,562
3eax,2009,Q8Q3H0,"PROTEIN-TYROSINE PHOSPHATASE, NON-RECEPTOR TYPE 1",,,,,,A5VWI3
1c84,2000,O92139,PROTEIN-TYROSINE PHOSPHATASE 1B,,,,,,294
1qxk,2003,Q8Q3J5,"PROTEIN-TYROSINE PHOSPHATASE, NON-RECEPTOR TYPE 1",,,,,,P44539
1gfy,2000,Q9Q288,PROTEIN-TYROSINE PHOSPHATASE 1B,,,,,,293
1onz,2003,Q8ULI3,"PROTEIN-TYROSINE PHOSPHATASE, NON-RECEPTOR TYPE 1",,,,,,A9JQL9
1c88,2000,O92103,PROTEIN-TYROSINE PHOSPHATASE 1B,,,,,,287
1g7f,2001,Q7ZCI0,PROTEIN-TYROSINE PHOSPHATASE 1B,,,,,,P35439
2h4k,2006,P12499,"PROTEIN-TYROSINE PHOSPHATASE, NON-RECEPTOR TYPE 1",,,,,,938
1pyn,2003,Q9WFL7,"PROTEIN-TYROSINE PHOSPHATASE, NON-RECEPTOR TYPE 1",,,,,,P13053
1kav,2002,P06239,"PROTEIN-TYROSINE PHOSPHATASE, NON-RECEPTOR TYPE 1",,,,,,423
1nl9,2003,P62942,PROTEIN-TYROSINE PHOSPHATASE,,,,,,Q0P9S0
1xbo,2004,P56273,"PROTEIN-TYROSINE PHOSPHATASE, NON-RECEPTOR TYPE 1",,,,,,279
1l8g,2002,Q9UBN7,"PROTEIN-TYROSINE PHOSPHATASE, NON-RECEPTOR TYPE 1",,,,,,Q8DR51
2qbr,2008,Q9UIF9,PROTEIN-TYROSINE PHOSPHATASE 1B,,,,,,292
2b07,2005,Q96I25,"PROTEIN-TYROSINE PHOSPHATASE, NON-RECEPTOR TYPE 1",,,,,,Q8VHN2
2h4g,2006,P00651,"PROTEIN-TYROSINE PHOSPHATASE, NON-RECEPTOR TYPE 1",,,,,,1002
2nt7,2007,P32542,"PROTEIN-TYROSINE PHOSPHATASE, NON-RECEPTOR TYPE 1",,,,,,P42684
1g7g,2001,P32156,"PROTEIN-TYROSINE PHOSPHATASE, NON-RECEPTOR TYPE 1",,,,,,1182
2qbs,2008,P32890,"PROTEIN-TYROSINE PHOSPHATASE, NON-RECEPTOR TYPE 1",,,,,,B6AA20
1ony,2003,O15460,"PROTEIN-TYROSINE PHOSPHATASE, NON-RECEPTOR TYPE 1",,,,,,1128
1nz7,2003,A0F7J4,"PROTEIN-TYROSINE PHOSPHATASE, NON-RECEPTOR TYPE 1",,,,,,Q5V8X3
2qbq,2008,Q90JJ9,PROTEIN-TYROSINE PHOSPHATASE 1B,,,,,,770
2zmm,2008,P31151,"PROTEIN-TYROSINE PHOSPHATASE, NON-RECEPTOR TYPE 1",,,,,,P96851
1nny,2003,C8B467,PROTEIN-TYROSINE PHOSPHATASE 1B,,,,,,0
2zn7,2008,C8BD48,"PROTEIN-TYROSINE PHOSPHATASE, NON-RECEPTOR TYPE 1",,,,,,Q0P8Q4
2qbp,2008,Q9EKL4,PROTEIN-TYROSINE PHOSPHATASE 1B,,,,,,330
3aaq,2010,Q6QK01,ECTONUCLEOSIDE TRIPHOSPHATE DIPHOSPHOHYDROLASE I,,,,,,P14769
2qu6,2007,Q7SSI0,VASCULAR ENDOTHELIAL GROWTH FACTOR RECEPTOR 2,,,,,,368
4ag8,2012,P04584,VASCULAR ENDOTHELIAL GROWTH FACTOR RECEPTOR 2,,,,,,P55859
4asd,2012,Q9W9R3,VASCULAR ENDOTHELIAL GROWTH FACTOR RECEPTOR 2,,,,,,289
4agc,2012,P35963,VASCULAR ENDOTHELIAL GROWTH FACTOR RECEPTOR 2,,,,,,P30291
4ase,2012,V5Y949,VASCULAR ENDOTHELIAL GROWTH FACTOR RECEPTOR 2,,,,,,646
4dkp,2012,Q07387,HIV-1 GP120 CORE,,,,,,P27707
4dko,2012,Q6BB74,HIV-1 GP120 CORE,,,,,,260
4dkr,2012,Q6Q004,HIV-1 GP120 CORE,,,,,,P39265
4dkq,2012,Q50CM2,HIV-1 GP120 CORE,,,,,,311
4i54,2013,Q9QB59,HIV-1 GLYCOPROTEIN,,,,,,P78536
5kz0,2016,Q7SSE3,ALK TYROSINE KINASE RECEPTOR,,,,,,824
2yfx,2011,Q9BRQ0,ALK TYROSINE KINASE RECEPTOR,,,,,,P51449
5aa9,2016,V5YAB1,ALK TYROSINE KINASE RECEPTOR,,,,,,518
5fto,2016,A7UNK4,ALK TYROSINE KINASE RECEPTOR,,,,,,P03372
4cmo,2014,P02638,ALK TYROSINE KINASE RECEPTOR,,,,,,595
4clj,2014,P04271,ALK TYROSINE KINASE RECEPTOR,,,,,,B2ZB02
2xb7,2010,Q13490,ALK TYROSINE KINASE RECEPTOR,,,,,,297
1a99,1998,Q8VDS3,PUTRESCINE-BINDING PROTEIN,,,,,,P96257
1xjd,2004,O95931,"PROTEIN KINASE C, THETA TYPE",,,,,,328
5cap,2015,D8NA05,EPIDERMAL GROWTH FACTOR RECEPTOR,,,,,,Q6G7I0
5c8n,2015,P27709,EPIDERMAL GROWTH FACTOR RECEPTOR,,,,,,267
4rj8,2014,P00747,EPIDERMAL GROWTH FACTOR RECEPTOR,,,,,,O29777
3ug2,2012,Q9A5I0,EPIDERMAL GROWTH FACTOR RECEPTOR,,,,,,804
1xkk,2004,P21784,EPIDERMAL GROWTH FACTOR RECEPTOR,,,,,,P55055
5caq,2015,P19812,EPIDERMAL GROWTH FACTOR RECEPTOR,,,,,,460
5cau,2015,P08519,EPIDERMAL GROWTH FACTOR RECEPTOR,,,,,,Q9H9B1
5cas,2015,P31992,EPIDERMAL GROWTH FACTOR RECEPTOR,,,,,,1298
5hcy,2016,Q9X6J6,EPIDERMAL GROWTH FACTOR RECEPTOR,,,,,,Q08881
1fkw,1996,P0A1R0,ADENOSINE DEAMINASE,,,,,,620
1add,1994,Q8IEW2,ADENOSINE DEAMINASE,,,,,,Q6DE08
1m2q,2003,Q9HPW4,"CASEIN KINASE II, ALPHA SUBUNIT",,,,,,361
1m2p,2003,Q5VWG9,"CASEIN KINASE II, ALPHA SUBUNIT",,,,,,Q9NTG7
2pvm,2008,Q9Y3Y4,"CASEIN KINASE II, ALPHA SUBUNIT",,,,,,399
1m2r,2003,O00257,"CASEIN KINASE II, ALPHA SUBUNIT",,,,,,P0A715
2oxy,2007,Q9H7E2,"CASEIN KINASE II, ALPHA SUBUNIT",,,,,,284
2pvh,2008,Q13501,"CASEIN KINASE II, ALPHA SUBUNIT",,,,,,Q00959
3pwd,2011,Q9R0G6,"CASEIN KINASE II, ALPHA SUBUNIT",,,,,,1464
2oxx,2007,,"CASEIN KINASE II, ALPHA SUBUNIT",,,,,,Q45462
1om1,2004,,"CASEIN KINASE II, ALPHA SUBUNIT",,,,,,306
2oxd,2007,,"CASEIN KINASE II, ALPHA SUBUNIT",,,,,,P0AC14
1zoh,2005,,"CASEIN KINASE II, ALPHA SUBUNIT",,,,,,282
1zog,2005,,"CASEIN KINASE II, ALPHA SUBUNIT",,,,,,Q13126
3fl5,2009,,"CASEIN KINASE II, ALPHA SUBUNIT",,,,,,283
1zoe,2005,,"CASEIN KINASE II, ALPHA SUBUNIT",,,,,,P16218
3be9,2008,,"CASEIN KINASE II, ALPHA SUBUNIT",,,,,,900
2pvl,2008,,"CASEIN KINASE II, ALPHA SUBUNIT",,,,,,A0QV09
2pvj,2008,,"CASEIN KINASE II, ALPHA SUBUNIT",,,,,,283
2pvk,2008,,"CASEIN KINASE II, ALPHA SUBUNIT",,,,,,Q13133
1h2k,2002,,HYPOXIA-INDUCIBLE FACTOR 1-ALPHA INHIBITOR,,,,,,447
5t8p,2017,,MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE 14,,,,,,O43293
5t8o,2017,,MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE 14,,,,,,454
5cs6,2016,,"CASEIN KINASE II, ALPHA SUBUNIT",,,,,,P10275
5osl,2018,,"CASEIN KINASE II, ALPHA SUBUNIT",,,,,,920
5mod,2017,,"CASEIN KINASE II, ALPHA SUBUNIT",,,,,,P15207
5oqu,2018,,"CASEIN KINASE II, ALPHA SUBUNIT",,,,,,902
5ork,2018,,"CASEIN KINASE II, ALPHA SUBUNIT",,,,,,Q8NB16
5os7,2018,,"CASEIN KINASE II, ALPHA SUBUNIT",,,,,,471
5os8,2018,,"CASEIN KINASE II, ALPHA SUBUNIT",,,,,,P00808
5csp,2016,,"CASEIN KINASE II, ALPHA SUBUNIT",,,,,,307
5orh,2018,,"CASEIN KINASE II, ALPHA SUBUNIT",,,,,,P94458
3h30,2009,,"CASEIN KINASE II, ALPHA SUBUNIT",,,,,,265
5orj,2018,,"CASEIN KINASE II, ALPHA SUBUNIT",,,,,,P55212
5otr,2018,,"CASEIN KINASE II, ALPHA SUBUNIT",,,,,,293
5otz,2018,,"CASEIN KINASE II, ALPHA SUBUNIT",,,,,,P10828
3bqc,2008,,"CASEIN KINASE II, ALPHA SUBUNIT",,,,,,461
5mo8,2017,,"CASEIN KINASE II, ALPHA SUBUNIT",,,,,,O25363
5owl,2018,,"CASEIN KINASE II, ALPHA SUBUNIT",,,,,,273
3owj,2010,,"CASEIN KINASE II, ALPHA SUBUNIT",,,,,,P43166
5cu4,2016,,"CASEIN KINASE II, ALPHA SUBUNIT",,,,,,264
5cqu,2015,,"CASEIN KINASE II, ALPHA SUBUNIT",,,,,,P04150
2zjw,2009,,"CASEIN KINASE II, ALPHA SUBUNIT",,,,,,777
3pe1,2011,,"CASEIN KINASE II, ALPHA SUBUNIT",,,,,,P19491
3pe2,2011,,"CASEIN KINASE II, ALPHA SUBUNIT",,,,,,883
5h8g,2016,,"CASEIN KINASE II, ALPHA SUBUNIT",,,,,,P11172
5h8e,2016,,"CASEIN KINASE II, ALPHA SUBUNIT",,,,,,480
1x8j,2005,,RETINOL DEHYDRATASE,,,,,,Q9ULX7
2a4m,2005,,TRYPTOPHANYL-TRNA SYNTHETASE II,,,,,,337
4umc,2014,,PHOSPHO-2-DEHYDRO-3-DEOXYHEPTONATE ALDOLASE,,,,,,P19492
4umb,2014,,PHOSPHO-2-DEHYDRO-3-DEOXYHEPTONATE ALDOLASE,,,,,,888
4uma,2014,,PHOSPHO-2-DEHYDRO-3-DEOXYHEPTONATE ALDOLASE,,,,,,O76054
4uc5,2015,,PHOSPHO-2-DEHYDRO-3-DEOXYHEPTONATE ALDOLASE,,,,,,403
4ipj,2013,,POLYSIALIC ACID CAPSULE BIOSYNTHESIS PROTEIN SIAC,,,,,,C5Z4W3
4ipi,2013,,POLYSIALIC ACID CAPSULE BIOSYNTHESIS PROTEIN SIAC,,,,,,261
5cks,2016,,"PHOSPHO-2-DEHYDRO-3-DEOXYHEPTONATE ALDOLASE, PHE-SENSITIVE",,,,,,P03314
5l9i,2016,,PERIPLASMIC BINDING PROTEIN,,,,,,3411
5l9l,2016,,PERIPLASMIC BINDING PROTEIN,,,,,,Q2FVW9
5l9g,2016,,PERIPLASMIC BINDING PROTEIN,,,,,,302
4mss,2013,,BETA-HEXOSAMINIDASE 1,,,,,,Q8T9Z7
6hh5,2018,,ADP-RIBOSYLHYDROLASE LIKE 2,,,,,,245
6hh3,2018,,ADP-RIBOSYLHYDROLASE LIKE 2,,,,,,Q8I3X4
4del,2013,,FRUCTOSE-BISPHOSPHATE ALDOLASE,,,,,,245
4hzm,2013,,BETA-HEXOSAMINIDASE,,,,,,P00749
6fba,2018,,ASPARTATE TRANSCARBAMOYLASE,,,,,,431
4nxv,2013,,MITOCHONDRIAL DYNAMIC PROTEIN MID51,,,,,,Q5SWW9
4nxu,2013,,MITOCHONDRIAL DYNAMIC PROTEIN MID51,,,,,,431
4oag,2014,,MITOCHONDRIAL DYNAMIC PROTEIN MID51,,,,,,Q07912
1usk,2003,,LEUCINE-SPECIFIC BINDING PROTEIN,,,,,,1038
1usi,2003,,LEUCINE-SPECIFIC BINDING PROTEIN,,,,,,P58687
3ttm,2012,,POLYAMINE TRANSPORT PROTEIN,,,,,,252
2i6b,2007,,ADENOSINE KINASE,,,,,,O29280
3a5y,2010,,LYSYL-TRNA SYNTHETASE,,,,,,292
5bv3,2015,,M7GPPPX DIPHOSPHATASE,,,,,,Q03181
3r24,2011,,2'-O-METHYL TRANSFERASE,,,,,,441
4bps,2013,,FKBO,,,,,,Q988B9
2yhw,2012,,BIFUNCTIONAL UDP-N-ACETYLGLUCOSAMINE,,,,,,268
5c3p,2015,,THYMINE DIOXYGENASE,,,,,,A7X1N2
2am4,2006,,"ALPHA-1,3-MANNOSYL-GLYCOPROTEIN 2-BETA-N",,,,,,257
3d0e,2008,,RAC-BETA SERINE/THREONINE-PROTEIN KINASE,,,,,,P04036
2q8z,2008,,OROTIDINE 5'-PHOSPHATE DECARBOXYLASE,,,,,,273
3tzm,2012,,TGF-BETA RECEPTOR TYPE-1,,,,,,Q8Y8D7
4cd0,2014,,ALK TYROSINE KINASE RECEPTOR,,,,,,264
5uxf,2017,,DIHYDRODIOL DEHYDROGENASE,,,,,,D0VWX8
2iko,2006,,RENIN,,,,,,252
3own,2010,,RENIN,,,,,,Q88PQ6
3d91,2008,,RENIN,,,,,,331
4s1g,2015,,RENIN,,,,,,Q8XXK6
4nku,2013,,POLY(A) RNA POLYMERASE PROTEIN CID1,,,,,,91
4nkt,2013,,POLY(A) RNA POLYMERASE PROTEIN CID1,,,,,,C7C422
6hly,2018,,AGROPINE PERMEASE,,,,,,270
2.00E+91,2007,,GERANYLGERANYL PYROPHOSPHATE SYNTHETASE,,,,,,B0VD92
2.00E+92,2007,,GERANYLGERANYL PYROPHOSPHATE SYNTHETASE,,,,,,271
2.00E+94,2007,,GERANYLGERANYL PYROPHOSPHATE SYNTHETASE,,,,,,P02925
2h6t,2007,,CANDIDAPEPSIN-3,,,,,,296
3gsm,2009,,BETA-HEXOSAMINIDASE,,,,,,O67060
3gs6,2009,,BETA-HEXOSAMINIDASE,,,,,,268
2oxn,2007,,BETA-HEXOSAMINIDASE,,,,,,O15826
1oba,2003,,LYSOZYME,,,,,,268
3fv3,2009,,SAPP1P-SECRETED ASPARTIC PROTEASE 1,,,,,,Q3U8K7
4lj8,2014,,CHAPERONE PROTEIN CLPB,,,,,,883
4lj5,2014,,CHAPERONE PROTEIN CLPB,,,,,,P52700
2r75,2008,,CELL DIVISION PROTEIN FTSZ,,,,,,290
5b25,2016,,"CALCIUM/CALMODULIN-DEPENDENT 3',5'-CYCLIC NUCLEOTIDE",,,,,,P95607
5o58,2017,,PHOSPHODIESTERASE TM1595,,,,,,270
2ce9,2006,,TRANSDUCIN-LIKE ENHANCER PROTEIN 1,,,,,,I6YFP0
4jyc,2013,,METHYLMALONYL-COA MUTASE ACCESSORY PROTEIN,,,,,,266
4jyb,2013,,METHYLMALONYL-COA MUTASE ACCESSORY PROTEIN,,,,,,P96884
4btk,2013,,TAU-TUBULIN KINASE 1,,,,,,266
6gwr,2018,,EPITHELIAL DISCOIDIN DOMAIN-CONTAINING RECEPTOR 1,,,,,,Q9SZU7
5gs9,2016,,GATS-LIKE PROTEIN 3,,,,,,270
3g0e,2009,,MAST/STEM CELL GROWTH FACTOR RECEPTOR,,,,,,O54438
5fnr,2016,,KELCH-LIKE ECH-ASSOCIATED PROTEIN 1,,,,,,247
5fns,2016,,KELCH-LIKE ECH-ASSOCIATED PROTEIN 1,,,,,,Q7D447
5fnt,2016,,KELCH-LIKE ECH-ASSOCIATED PROTEIN 1,,,,,,277
5fnu,2016,,KELCH-LIKE ECH-ASSOCIATED PROTEIN 1,,,,,,P0A538
4qij,2014,,"1,4-DIHYDROXY-2-NAPHTHOYL-COA SYNTHASE",,,,,,0
5oei,2017,,UNCHARACTERIZED PROTEIN FAMILY UPF0065:TAT PATHWAY SIGNAL,,,,,,P46922
5oku,2017,,UNCHARACTERIZED PROTEIN FAMILY UPF0065:TAT PATHWAY SIGNAL,,,,,,293
1duv,2000,,ORNITHINE TRANSCARBAMOYLASE,,,,,,Q9HUK6
6bm6,2018,,METHIONINE SYNTHASE,,,,,,691
6bdy,2018,,METHIONINE SYNTHASE,,,,,,B3U3M3
6bm5,2018,,METHIONINE SYNTHASE,,,,,,3423
2q8m,2007,,FRUCTOSE-BISPHOSPHATASE,,,,,,P03962
3qt6,2011,,MEVALONATE DIPHOSPHATE DECARBOXYLASE,,,,,,267
4aji,2012,,L-LACTATE DEHYDROGENASE A CHAIN,,,,,,O66496
